Чек	Код товара	Цена	Карта клиента	Дата	Точка продажи	Способ оплаты	Тип карты	Количество	Сумма
CH567206413	353032	66,6	3322382	20.12.2013 14:24:00	1060	наличные	красная	6	379,62
CH576427054	353267	442,2	3113313	23.12.2013 12:07:00	1060	наличные	красная	2	840,18
CH655930931	353420	760	21011	13.01.2014 12:25:00	1062	наличные	красная	2	1444
CH664659904	350832	424	54422002	15.01.2014 15:55:00	1060	наличные	красная	2	805,6
CH692870025	353564	124	110864	22.01.2014 17:41:00	1060	наличные	красная	2	235,6
CH700581231	350009	1028,4	42820841	24.01.2014 12:16:00	1060	наличные	красная	2	1953,96
CH841052065	353536	81,8	1904709	27.02.2014 15:58:00	1062	наличные	золотая	16	1177,92
CH869067978	352112	14,6	92222525	06.03.2014 10:43:00	1062	наличные	красная	8	110,96
CH953321426	353304	69,2	27322055	25.03.2014 16:17:00	1062	наличные	красная	20	1314,8
CH935967468	353687	38,6	1642077	11.04.2010 20:09:00	1080	наличные	золотая	6	208,44
CH940049863	353219	239,4	3715494	05.04.2013 14:34:00	1060	наличные	красная	2	454,86
CH936154497	353727	686,4	2146786	04.05.2010 13:30:00	1080	наличные	красная	2	1304,16
CH940466985	350806	1271,2	47217241	29.06.2013 20:21:00	1062	наличные	красная	2	2415,28
CH940550695	350056	1553,8	20219488	23.07.2013 19:59:00	1062	наличные	красная	2	2952,22
CH940661436	352838	2613,6	71118512	14.08.2013 18:20:00	1060	наличные	красная	2	4965,84
CH916272208	350372	1147,6	51514896	18.03.2014 9:58:00	1060	карта	красная	2	2180,44
CH936570216	350186	1150,2	8552228	23.05.2010 15:25:00	1060	наличные	золотая	2	2070,36
CH936688170	350566	541,4	72413425	08.07.2010 12:57:00	1060	наличные	красная	2	1028,66
CH941017744	350370	1116,2	93021197	25.10.2013 13:01:00	1062	наличные	красная	2	2120,78
CH941045765	352838	2613,6	38621985	21.11.2013 18:50:00	1060	наличные	красная	2	4965,84
CH937022671	352737	217,8	41112631	26.10.2010 19:02:00	1060	наличные	красная	2	413,82
CH937029618	352865	43,4	9921747	21.10.2010 18:40:00	1060	наличные	золотая	12	468,72
CH937076408	350222	1137,4	64512987	07.11.2010 20:13:00	1060	наличные	красная	2	2161,06
CH937237196	353563	402,6	45213845	18.12.2010 20:44:00	1060	наличные	красная	2	764,94
CH937261991	350166	821,4	7426280	16.12.2010 19:11:00	1080	наличные	красная	2	1560,66
CH941223609	350920	1909,4	41920664	09.11.2013 11:01:00	1062	наличные	красная	2	3627,86
CH937365969	352357	304	9316929	24.01.2011 16:43:00	1060	наличные	красная	2	577,6
CH937445539	352441	380,2	56512255	01.02.2011 13:42:00	1080	наличные	красная	2	722,38
CH937471655	350053	1567,2	8379517	03.02.2011 12:47:00	1060	наличные	красная	2	2977,68
CH937566424	353564	124	85011369	15.02.2011 16:09:00	1060	наличные	красная	2	235,6
CH937625218	350675	491,4	6856367	15.02.2011 14:46:00	1060	наличные	красная	2	933,66
CH937822798	352865	43,4	5358318	12.05.2011 17:06:00	1060	наличные	красная	18	742,14
CH937852072	350166	821,4	3256348	25.05.2011 14:38:00	1060	наличные	красная	2	1560,66
CH937856634	352583	9236,4	1747602	04.06.2011 14:51:00	1060	наличные	красная	2	17549,16
CH937927715	352865	43,4	74113021	05.07.2011 17:34:00	1080	наличные	красная	6	247,38
